prefecture 2010,percentage distribution by prefecture 2010,"ratio of population of foreigners (per 100,000 persons) 2010","ratio of population of foreigners [korean] (per 100,000 persons) 2010","ratio of population of foreigners [chinese] (per 100,000 persons) 2010","ratio of population of foreigners [american] (per 100,000 persons) 2010",population per 1 k㎡ of total land area 2010,population per 1 k㎡ of inhabitable area 2010,rate of day to night population 2010,ratio of dids (densely inhabited districts) population 2010,ratio of dids area 2010,population by sex [all ages] 2010,population by sex [15-64 years old] 2010,population by sex [65 years old and over] 2010,ratio of population [under15 years old] 2010,ratio of population [15-64 years old] 2010,ratio of population [65 years old and over] 2010,ratio of juvenile population 2010,ratio of aged population 2010,ratio of dependent population 2010,aging index 2010,"ratio of never-married population [20-24 years old, male] 2010","ratio of never-married population [20-24 years old, female] 2010","ratio of never-married population [25-29 years old, male] 2010","ratio of never-married population [25-29 years old, female] 2010","ratio of never-married population [30-34 years old, male] 2010","ratio of never-married population [30-34 years old, female] 2010","ratio of never-married population [35-39 years old, male] 2010","ratio of never-married population [35-39 years old, female] 2010","ratio of never-married population [40-44 years old, male] 2010","ratio of never-married population [40-44 years old, female] 2010","ratio of never-married population [45-49 years old, male] 2010","ratio of never-married population [45-49 years old, female] 2010","ratio of widowed population [60 years old and over, male] 2010","ratio of widowed population [60 years old and over, female] 2010","ratio of divorced population [40-49 years old, male] 2010","ratio of divorced population [40-49 years old, female] 2010","ratio of divorced population [50-59 years old, male] 2010","ratio of divorced population [50-59 years old, female] 2010",rates of population change 2010,rates of natural change 2010,"crude birth rate (per 1,000 persons) 2010",total fertility rate 2010,"crude death rate (per 1,000 persons) 2010","crude death rate [male] (per 1,000 persons) 2010","crude death rate [female] (per 1,000 persons) 2010","death rate of 0-4 years old (per 1,000 persons) 2010","death rate of 65 years old and over (per 1,000 persons) 2010","age-adjusted death rate [male] (per 1,000 persons) 2010","age-adjusted death rate [female] (per 1,000 persons) 2010",rate of net-migration 2010,rate of in-migrants from other prefectures 2010,rate of out-migrants to other prefectures 2010,ratio of in flow population 2010,ratio of out flow population 2010,percentage distribution of private households 2010,members per private household 2010,ratio of family nuclei households 2010,ratio of dual-income households 2010,ratio of one-person households 2010,ratio of households with members 65 years old and over 2010,ratio of aged-couple households 2010,ratio of aged-single person households 2010,"rate of marriages (per 1,000 persons) 2010","rate of divorces (per 1,000 persons) 2010",mma 2010,gpkg_key 2010
Aichi-ken,5.79,2162.1,432.4,452.2,25.8,1434.8,2490.8,101.5,76.8,31.0,99.9,105.3,80.3,14.5,65.2,20.3,22.2,31.1,53.4,140.1,92.2,87.7,69.4,55.1,44.8,29.4,33.6,18.8,26.6,13.8,20.4,9.7,8.1,31.3,4.9,8.1,6.0,7.9,0.0,0.15,9.43,1.52,7.89,8.62,7.17,0.6,33.04,5.38,2.77,-0.02,1.43,1.44,2.53,1.04,5.65,2.49,57.5,26.71,31.52,33.85,9.5,7.42,6.08,1.92,Chukyo,Aichi
Akita-ken,0.85,309.0,56.5,144.1,15.7,93.3,340.0,99.9,34.2,2.7,88.5,98.9,65.9,11.4,59.0,29.6,19.4,50.1,69.5,258.3,92.3,86.9,68.6,55.3,46.2,31.3,34.7,20.4,29.1,15.1,23.5,10.0,9.2,41.0,5.7,9.4,6.5,8.6,-1.0,-0.7,6.16,1.31,13.16,14.68,11.81,0.61,38.92,6.14,2.82,-0.34,1.17,1.52,0.18,0.3,0.75,2.71,52.08,30.78,24.57,53.11,11.49,10.14,3.94,1.65,,Akita
Aomori-ken,1.07,268.5,61.6,101.3,22.2,142.4,424.7,100.0,46.0,5.0,88.9,96.8,66.3,12.6,61.7,25.8,20.4,41.8,62.2,205.3,92.4,86.3,69.1,56.0,47.5,33.5,36.2,22.5,29.3,16.6,23.7,11.4,9.3,40.3,6.5,12.0,7.3,10.9,-0.7,-0.46,7.07,1.38,11.67,13.24,10.28,0.66,38.22,6.62,3.04,-0.37,1.45,1.82,0.41,0.36,0.99,2.61,53.65,27.31,27.58,45.75,9.76,9.88,4.31,1.95,,Aomori
Chiba-ken,4.85,1269.7,205.7,435.1,26.1,1205.5,1760.1,89.5,72.9,17.9,99.4,103.7,82.6,13.0,65.4,21.5,19.9,32.9,52.9,165.1,92.9,89.1,71.2,60.1,47.6,33.8,36.2,22.4,28.4,16.2,22.6,11.5,7.7,29.3,4.5,7.4,5.3,7.4,0.59,0.03,8.31,1.34,8.05,8.82,7.28,0.65,31.46,5.26,2.79,0.23,2.44,2.21,2.94,13.49,4.85,2.44,59.53,23.54,30.3,34.85,10.14,7.61,5.6,1.99,Kanto,Chiba
Ehime-ken,1.12,546.8,81.1,297.5,10.9,252.1,858.7,100.1,52.4,9.2,88.8,95.6,68.4,13.0,60.4,26.6,21.6,44.1,65.6,204.4,89.8,85.5,64.3,55.0,42.7,32.3,32.4,22.5,26.4,17.4,20.6,12.6,9.0,36.6,6.6,10.7,7.3,10.3,-0.45,-0.34,7.98,1.5,11.42,12.54,10.42,0.53,37.31,5.66,2.72,-0.18,1.31,1.49,0.51,0.39,1.14,2.37,58.58,24.65,30.96,41.9,12.61,11.76,4.84,1.96,,Ehime
Fukui-ken,0.63,1309.9,307.0,422.8,13.5,192.4,750.7,100.1,41.8,7.3,93.5,100.8,71.6,14.0,60.8,25.2,23.1,41.4,64.5,179.1,93.8,88.9,69.1,55.4,43.0,28.3,30.5,16.5,23.0,10.9,17.9,6.9,8.9,37.5,5.1,8.2,5.7,7.6,-0.46,-0.19,8.53,1.61,10.44,10.99,9.93,0.58,37.13,5.0,2.55,-0.17,1.12,1.3,0.77,0.72,0.53,2.86,52.08,36.44,24.5,46.77,10.02,7.77,4.59,1.53,,Fukui
Fukuoka-ken,3.96,794.9,288.2,277.0,18.2,1019.0,1828.6,100.1,70.9,20.4,89.4,94.6,68.0,13.6,64.1,22.3,21.2,34.8,56.0,164.2,90.6,88.0,67.4,61.1,44.0,37.2,32.8,25.1,26.6,19.5,20.8,14.4,8.5,34.5,6.2,11.0,7.7,11.7,0.16,0.0,9.23,1.44,9.27,10.12,8.5,0.7,35.54,5.58,2.72,0.05,1.94,1.89,1.29,1.17,4.06,2.35,55.23,21.82,34.95,35.23,9.5,9.99,5.77,2.16,Fukuoka Kitakyushu,Fukuoka
Fukushima-ken,1.58,460.7,83.7,186.6,12.5,147.2,479.8,99.6,40.0,4.4,94.3,103.0,70.5,13.7,61.3,25.0,22.3,40.8,63.1,182.7,88.7,83.1,63.9,50.7,42.8,28.1,32.8,18.6,27.2,13.6,22.0,9.2,9.6,36.6,5.6,9.5,5.8,8.2,-0.58,-0.33,7.95,1.52,11.21,12.09,10.38,0.76,39.08,5.76,2.81,-0.28,1.26,1.55,0.53,0.92,1.39,2.76,52.52,29.76,26.22,45.56,9.36,8.28,4.72,1.95,,Fukushima
Gifu-ken,1.62,1772.4,215.8,551.6,14.7,195.9,945.7,96.0,38.9,8.1,93.6,98.6,76.3,14.0,61.9,24.1,22.6,38.9,61.5,172.4,93.1,88.6,69.4,55.6,44.4,29.3,31.9,18.0,24.7,12.6,18.0,8.3,9.1,35.0,5.2,8.4,5.6,7.0,-0.49,-0.16,8.12,1.48,9.72,10.54,8.95,0.71,35.24,5.2,2.75,-0.16,1.29,1.45,2.12,6.12,1.42,2.78,57.38,32.34,23.61,44.39,11.13,7.79,4.85,1.63,Chukyo,Gifu
Gumma-ken,1.57,1765.8,127.6,288.9,18.9,315.6,872.7,99.9,39.9,8.7,96.9,103.7,76.3,13.8,62.7,23.6,22.0,37.6,59.6,171.0,92.0,87.2,69.0,55.8,46.1,30.7,35.1,19.9,27.7,14.0,22.1,10.4,9.7,33.3,5.5,9.2,5.6,8.2,-0.29,-0.22,7.98,1.46,10.15,10.76,9.56,0.61,37.19,5.49,2.88,-0.06,1.36,1.43,2.77,2.92,1.46,2.61,59.45,29.41,26.21,40.62,10.55,8.3,4.82,1.92,Kanto,Gunma
