prefecture 2010,percentage distribution by prefecture 2010,"ratio of population of foreigners (per 100,000 persons) 2010","ratio of population of foreigners [korean] (per 100,000 persons) 2010","ratio of population of foreigners [chinese] (per 100,000 persons) 2010","ratio of population of foreigners [american] (per 100,000 persons) 2010",population per 1 k㎡ of total land area 2010,population per 1 k㎡ of inhabitable area 2010,rate of day to night population 2010,ratio of dids (densely inhabited districts) population 2010,ratio of dids area 2010,population by sex [all ages] 2010,population by sex [15-64 years old] 2010,population by sex [65 years old and over] 2010,ratio of population [under15 years old] 2010,ratio of population [15-64 years old] 2010,ratio of population [65 years old and over] 2010,ratio of juvenile population 2010,ratio of aged population 2010,ratio of dependent population 2010,aging index 2010,"ratio of never-married population [20-24 years old, male] 2010","ratio of never-married population [20-24 years old, female] 2010","ratio of never-married population [25-29 years old, male] 2010","ratio of never-married population [25-29 years old, female] 2010","ratio of never-married population [30-34 years old, male] 2010","ratio of never-married population [30-34 years old, female] 2010","ratio of never-married population [35-39 years old, male] 2010","ratio of never-married population [35-39 years old, female] 2010","ratio of never-married population [40-44 years old, male] 2010","ratio of never-married population [40-44 years old, female] 2010","ratio of never-married population [45-49 years old, male] 2010","ratio of never-married population [45-49 years old, female] 2010","ratio of widowed population [60 years old and over, male] 2010","ratio of widowed population [60 years old and over, female] 2010","ratio of divorced population [40-49 years old, male] 2010","ratio of divorced population [40-49 years old, female] 2010","ratio of divorced population [50-59 years old, male] 2010","ratio of divorced population [50-59 years old, female] 2010",rates of population change 2010,rates of natural change 2010,"crude birth rate (per 1,000 persons) 2010",total fertility rate 2010,"crude death rate (per 1,000 persons) 2010","crude death rate [male] (per 1,000 persons) 2010","crude death rate [female] (per 1,000 persons) 2010","death rate of 0-4 years old (per 1,000 persons) 2010","death rate of 65 years old and over (per 1,000 persons) 2010","age-adjusted death rate [male] (per 1,000 persons) 2010","age-adjusted death rate [female] (per 1,000 persons) 2010",rate of net-migration 2010,rate of in-migrants from other prefectures 2010,rate of out-migrants to other prefectures 2010,ratio of in flow population 2010,ratio of out flow population 2010,percentage distribution of private households 2010,members per private household 2010,ratio of family nuclei households 2010,ratio of dual-income households 2010,ratio of one-person households 2010,ratio of households with members 65 years old and over 2010,ratio of aged-couple households 2010,ratio of aged-single person households 2010,"rate of marriages (per 1,000 persons) 2010","rate of divorces (per 1,000 persons) 2010",mma 2010,gpkg_key 2010
Hiroshima-ken,2.23,1114.5,280.3,361.9,20.7,337.4,1249.0,100.3,63.6,13.3,93.3,99.7,72.2,13.7,62.4,23.9,21.9,38.3,60.3,174.9,91.4,86.9,65.7,55.4,42.8,31.9,32.1,21.3,25.7,16.3,19.8,11.2,8.5,35.3,5.7,9.1,6.4,8.3,-0.11,-0.07,8.93,1.55,9.63,10.42,8.9,0.71,35.18,5.27,2.59,-0.07,1.65,1.72,1.06,0.79,2.28,2.36,57.86,25.35,32.76,37.45,11.53,10.12,5.38,1.91,Hiroshima,Hiroshima
Hokkaido,4.3,332.0,72.3,152.4,14.6,70.2,248.0,100.0,74.0,3.6,89.7,94.9,71.7,12.0,63.3,24.7,18.9,39.0,57.9,206.6,91.7,87.4,68.3,58.8,46.0,35.5,35.1,25.6,28.3,20.2,21.9,15.5,8.9,34.5,6.5,11.6,7.2,11.1,-0.32,-0.28,7.29,1.26,10.06,11.46,8.8,0.63,34.4,5.61,2.79,-0.16,0.89,1.04,0.05,0.09,4.66,2.21,57.48,21.24,34.85,36.58,12.11,10.82,5.16,2.29,Sappora,Hokkaido
Hyogo-ken,4.36,1414.4,733.3,318.3,31.1,665.6,2013.6,95.7,76.6,20.8,91.7,95.6,74.7,13.7,63.3,23.1,21.6,36.5,58.1,168.8,91.8,89.2,68.9,60.7,43.8,34.6,31.7,22.5,24.8,17.0,19.1,12.5,8.4,33.4,5.1,8.9,6.1,8.6,-0.05,-0.07,8.56,1.41,9.23,10.12,8.41,0.63,34.38,5.44,2.8,-0.05,1.62,1.67,2.41,6.72,4.34,2.44,60.46,22.74,30.23,38.23,11.16,10.62,5.32,1.92,Keihanshin,Hyago
Ibaraki-ken,2.32,1363.0,156.0,397.4,19.0,487.2,745.8,97.2,37.3,6.1,99.3,105.6,79.2,13.5,64.0,22.5,21.1,35.2,56.3,166.4,92.6,87.3,70.4,56.6,48.1,31.6,36.5,19.8,29.3,13.4,22.8,8.9,9.2,33.8,5.2,8.7,5.5,7.1,-0.01,-0.16,8.08,1.44,9.64,10.31,8.97,0.7,36.36,5.63,2.89,0.03,1.68,1.65,2.58,5.38,2.1,2.68,57.75,28.25,25.75,40.11,9.78,6.93,5.07,1.92,Kanto,Ibaraki
Ishikawa-ken,0.91,835.0,143.4,361.3,18.6,279.5,842.5,100.2,50.1,7.7,93.4,100.5,70.5,13.7,62.6,23.7,21.9,37.9,59.9,172.9,93.4,88.7,69.2,58.0,43.9,31.6,32.1,19.9,24.8,14.0,19.2,8.9,8.2,36.5,5.1,8.5,5.9,8.2,-0.1,-0.17,8.21,1.44,9.92,10.67,9.22,0.81,36.35,5.35,2.65,-0.04,1.47,1.51,0.91,0.7,0.85,2.58,54.17,32.18,29.56,40.25,10.12,8.22,4.98,1.55,,Ishikawa
Iwate-ken,1.04,389.7,71.4,192.1,12.8,87.1,360.1,99.7,29.6,2.3,91.3,100.6,68.1,12.7,60.1,27.2,21.2,45.3,66.5,213.6,89.2,85.0,64.6,52.3,45.1,31.1,35.4,21.0,29.9,15.8,24.6,10.8,9.3,39.0,5.5,9.4,5.9,8.1,-0.74,-0.45,7.33,1.46,11.85,12.9,10.89,0.76,37.82,5.9,2.89,-0.32,1.35,1.66,0.56,0.86,0.93,2.69,51.14,29.57,27.41,48.14,9.95,9.0,4.3,1.75,,Iwate
Kagawa-ken,0.78,688.7,79.9,321.0,12.5,530.7,993.0,100.2,32.8,7.8,93.0,98.9,71.8,13.4,60.7,25.8,22.1,42.5,64.6,192.3,90.6,85.7,65.9,55.3,42.9,31.1,31.3,19.7,25.5,15.0,18.8,9.9,9.3,35.6,6.1,9.8,6.4,8.5,-0.32,-0.27,8.43,1.57,11.11,11.85,10.42,0.81,38.2,5.32,2.74,-0.14,1.85,1.99,0.91,0.71,0.75,2.49,57.68,27.62,28.85,41.69,12.02,9.83,5.0,1.94,,Kagawa
Kagoshima-ken,1.33,321.8,27.8,135.5,13.2,185.7,521.7,99.9,39.9,3.9,87.6,94.6,66.6,13.7,59.8,26.5,23.0,44.3,67.2,192.7,89.9,86.5,62.5,55.7,40.2,32.9,30.7,23.2,26.1,17.9,21.7,12.5,9.8,38.7,6.5,10.8,7.9,10.9,-0.34,-0.3,8.86,1.62,11.89,12.74,11.15,0.73,39.38,5.63,2.8,-0.17,1.71,1.89,0.43,0.54,1.4,2.27,60.13,24.97,33.43,40.48,13.15,14.09,5.09,1.95,,Kagoshima
Kanagawa-ken,7.07,1389.1,274.8,395.4,51.7,3745.4,6167.2,91.2,94.2,64.7,100.9,106.7,80.8,13.2,66.6,20.2,19.8,30.4,50.2,153.2,93.0,90.1,72.8,61.5,48.3,34.1,37.1,22.6,29.7,16.7,24.0,12.2,7.6,29.4,4.1,7.1,5.4,8.0,0.47,0.11,8.63,1.31,7.49,8.25,6.73,0.65,30.98,5.13,2.67,0.16,2.39,2.22,3.37,12.14,7.39,2.33,59.25,21.39,33.79,31.57,9.49,8.05,5.99,1.97,Kanto,Kanagawa
Kochi-ken,0.6,414.9,64.4,146.0,14.4,107.6,658.7,99.9,42.8,4.8,88.6,97.4,66.5,12.2,59.0,28.8,20.7,48.7,69.5,235.1,91.4,87.1,69.4,59.3,46.5,35.9,35.3,24.8,29.3,19.5,23.9,14.3,8.8,37.2,7.7,12.1,8.5,11.8,-0.59,-0.56,7.22,1.42,12.78,13.77,11.9,0.82,39.23,5.76,2.74,-0.1,1.41,1.51,0.24,0.36,0.62,2.3,55.83,24.67,33.75,44.37,12.06,13.95,4.35,1.91,,Kochi
Kumamoto-ken,1.42,419.5,46.1,200.3,15.5,245.4,665.2,99.6,46.6,5.7,88.5,95.2,67.3,13.8,60.5,25.6,22.8,42.4,65.2,185.6,90.1,85.8,64.6,56.4,41.5,32.7,31.0,22.5,25.0,16.9,20.0,12.5,8.6,35.9,6.7,10.8,7.4,10.6,-0.2,-0.16,8.94,1.62,10.57,11.33,9.9,0.74,36.19,5.08,2.57,-0.13,1.58,1.71,0.63,1.04,1.32,2.57,55.71,28.1,28.75,43.08,10.98,10.07,5.01,1.99,Kumamoto,Kumamoto
Kyoto-fu,2.06,1587.8,940.0,304.3,34.1,571.4,2239.1,101.2,83.0,22.4,92.3,96.9,73.8,12.9,63.8,23.4,20.2,36.6,56.8,181.1,94.0,91.5,73.6,64.6,48.2,38.1,35.1,25.2,27.5,19.1,21.1,13.7,8.0,31.5,5.1,9.2,6.2,9.1,-0.03,-0.09,8.06,1.28,9.0,9.51,8.52,0.67,33.75,5.12,2.67,-0.07,2.01,2.08,7.12,5.89,2.16,2.31,55.2,22.49,35.76,36.16,10.52,9.85,5.18,1.88,Keihanshin,Kyoto
Mie-ken,1.45,1769.8,255.1,361.0,13.6,321.0,907.4,98.1,42.2,9.1,95.0,100.9,75.4,13.7,62.0,24.3,22.2,39.1,61.3,176.6,91.4,86.4,67.8,54.7,43.1,28.9,31.1,17.9,24.8,12.7,18.1,8.4,8.6,34.4,5.4,8.7,6.1,7.7,-0.5,-0.18,8.23,1.51,10.08,10.71,9.48,0.69,36.44,5.37,2.76,-0.09,1.49,1.57,1.55,3.42,1.36,2.59,58.67,29.21,26.89,41.41,11.93,8.93,5.07,1.87,Chukyo,Mie
Miyagi-ken,1.83,526.7,152.7,224.1,18.2,322.3,746.6,100.2,59.9,7.7,94.3,99.9,72.9,13.2,64.4,22.3,20.5,34.7,55.2,169.0,87.0,85.4,63.2,56.0,42.1,32.5,32.1,21.7,26.5,15.9,21.1,10.9,8.5,34.7,5.2,9.0,5.9,8.3,0.01,-0.12,8.15,1.3,9.34,10.16,8.57,0.66,36.16,5.39,2.68,-0.02,2.02,2.04,0.83,0.66,1.74,2.56,52.4,24.6,31.25,37.88,8.56,7.02,5.1,1.99,Sendai,Miyagi
Miyazaki-ken,0.89,334.9,45.5,135.7,16.3,146.7,615.1,100.0,45.9,6.2,88.5,94.4,68.5,14.0,60.2,25.8,23.3,42.8,66.1,183.7,88.5,84.5,61.1,52.4,39.4,30.5,29.9,20.8,25.1,16.6,19.9,11.6,9.2,36.5,7.3,12.1,8.5,12.0,-0.24,-0.19,9.0,1.68,10.86,11.78,10.05,0.46,36.7,5.39,2.71,-0.19,1.75,1.94,0.64,0.61,0.89,2.4,60.15,27.89,29.75,41.0,12.71,11.64,5.19,2.13,,Miyazaki
Nagano-ken,1.68,1386.4,178.4,466.4,22.2,158.7,649.6,99.9,34.8,5.3,94.6,102.0,74.7,13.8,59.7,26.5,23.1,44.4,67.5,192.5,92.9,88.4,70.7,57.6,46.2,31.0,35.0,19.7,27.8,13.8,21.6,9.6,9.2,34.2,5.0,8.5,5.7,8.0,-0.44,-0.27,8.01,1.53,10.75,11.27,10.25,0.51,36.28,4.77,2.49,-0.1,1.25,1.35,0.34,0.48,1.53,2.66,56.67,32.9,25.71,46.3,11.76,8.65,4.79,1.69,,Nagano
Nagasaki-ken,1.11,455.4,73.2,224.3,30.0,347.5,873.2,99.8,47.1,7.4,87.5,94.6,65.8,13.6,60.4,26.0,22.6,43.1,65.6,190.9,89.6,86.6,65.2,57.3,42.5,34.1,31.9,23.6,26.0,17.8,21.3,13.6,9.2,38.0,6.5,10.9,7.5,10.7,-0.5,-0.3,8.41,1.61,11.43,12.45,10.53,0.85,38.04,5.73,2.76,-0.34,1.71,2.05,0.46,0.7,1.07,2.47,58.16,25.86,29.43,42.86,11.64,11.36,4.66,1.76,,Naoasaki
Nara-ken,1.09,660.7,257.4,185.3,24.4,379.5,1645.1,89.9,64.8,16.8,90.0,92.1,76.6,13.2,62.8,24.0,21.0,38.1,59.2,181.4,94.3,91.7,72.7,64.6,46.3,36.7,31.8,22.9,23.2,15.7,16.2,10.2,8.3,32.3,4.9,8.7,5.3,7.7,-0.23,-0.17,7.63,1.29,9.31,10.28,8.43,0.58,33.98,5.15,2.68,-0.16,1.83,2.0,4.0,14.08,1.01,2.63,64.02,22.98,23.7,41.82,12.74,8.97,4.71,1.86,Keihanshin,Nara
Niigata-ken,1.85,501.8,80.0,190.7,10.7,188.7,527.2,100.0,48.1,5.2,93.6,102.6,70.7,12.8,61.0,26.3,20.9,43.1,64.0,205.9,93.3,88.8,69.6,57.1,45.3,32.0,34.6,20.8,29.3,15.2,23.2,10.3,9.2,37.0,5.1,7.9,5.4,7.3,-0.44,-0.36,7.62,1.43,11.21,12.05,10.42,0.57,37.64,5.45,2.55,-0.17,1.0,1.17,0.21,0.2,1.62,2.77,52.19,32.95,25.66,47.59,9.9,7.77,4.64,1.45,Niigata,Niigata
Oita-ken,0.93,738.9,171.9,295.0,17.4,188.7,685.4,100.0,45.2,6.6,89.4,96.5,68.5,13.1,60.3,26.6,21.7,44.2,65.9,203.5,90.7,86.4,66.3,57.1,44.1,34.0,32.3,22.5,26.2,17.4,20.0,12.2,9.1,37.1,6.7,10.9,7.8,10.9,-0.29,-0.24,8.42,1.56,10.85,11.72,10.08,0.73,36.06,5.19,2.56,-0.17,1.63,1.8,0.84,0.82,0.93,2.41,56.76,25.67,30.88,42.42,12.56,11.11,5.08,1.93,,Oita
Okayama-ken,1.52,949.8,273.3,390.8,14.6,273.5,873.4,99.9,45.6,9.1,92.2,98.0,72.1,13.7,61.1,25.1,22.5,41.1,63.6,183.0,91.9,87.8,67.8,56.7,44.6,32.2,32.8,21.3,26.3,15.5,20.1,10.5,8.7,35.9,6.1,10.0,6.9,8.8,-0.19,-0.18,8.62,1.5,10.41,11.2,9.68,0.53,36.56,5.35,2.59,-0.11,1.44,1.55,1.03,1.14,1.45,2.52,56.39,26.52,30.02,41.24,11.68,9.53,5.09,1.86,Okayama,Okayama
Okinawa-ken,1.09,549.3,39.8,95.7,149.4,611.9,1193.0,100.0,66.8,11.2,96.3,100.8,73.9,17.8,64.8,17.4,27.4,26.8,54.2,97.6,88.7,83.6,65.1,56.2,44.4,33.1,34.8,23.6,29.8,18.7,25.1,13.9,7.7,31.0,6.6,12.2,8.1,14.0,0.56,0.5,12.28,1.87,7.29,7.93,6.68,0.76,33.4,5.47,2.67,0.03,1.75,1.72,0.06,0.1,1.0,2.63,60.51,22.35,29.39,30.59,6.51,7.78,6.38,2.57,,Okinawa
Osaka-fu,6.92,1857.9,1020.9,334.0,19.8,4669.7,6728.7,104.7,95.8,68.8,93.6,97.4,76.7,13.3,64.4,22.4,20.6,34.8,55.4,168.4,90.8,87.6,68.7,61.4,45.6,36.8,34.6,25.3,27.6,19.8,21.8,14.9,8.0,30.8,5.6,10.3,7.3,10.8,0.12,-0.02,8.47,1.33,8.64,9.72,7.62,0.57,32.49,5.77,2.9,-0.04,1.7,1.74,7.59,2.9,7.37,2.28,57.15,19.08,35.78,35.19,10.14,11.32,5.78,2.34,Keihanshin,Osaka
Saga-ken,0.66,422.9,88.7,179.7,13.3,348.3,637.5,100.2,29.8,4.1,89.0,95.8,66.2,14.6,60.8,24.6,24.0,40.4,64.4,168.6,91.0,87.2,65.5,56.8,43.2,32.8,32.0,21.4,26.5,15.8,20.3,11.3,9.7,38.7,6.5,10.8,6.8,9.9,-0.38,-0.18,8.99,1.61,10.84,11.75,10.03,0.69,38.56,5.6,2.68,-0.19,1.87,2.06,4.33,4.12,0.57,2.8,55.29,31.74,24.74,45.46,9.78,8.83,4.95,1.81,,Saga
Saitama-ken,5.62,1233.3,195.6,430.5,19.6,1894.2,2795.0,88.6,79.6,26.7,100.6,105.2,84.0,13.3,66.3,20.4,20.1,30.8,50.9,153.6,92.9,89.3,71.9,60.1,48.8,33.8,37.5,22.5,29.9,16.1,23.1,10.9,8.0,29.0,4.6,7.6,5.3,7.3,0.47,0.05,8.26,1.32,7.71,8.51,6.91,0.62,30.99,5.41,2.88,0.21,2.26,2.04,3.45,14.87,5.47,2.5,62.17,25.35,28.43,34.3,9.77,7.2,5.44,1.99,Kanto,Saitama
Shiga-ken,1.1,1526.6,338.1,284.6,22.5,351.2,1088.1,96.6,46.7,8.3,97.6,102.3,77.1,15.1,64.2,20.7,23.5,32.2,55.7,137.0,93.6,89.1,69.5,56.5,42.3,29.3,29.9,17.3,22.7,11.8,16.3,7.5,8.1,33.6,5.0,7.4,5.5,6.7,0.13,0.12,9.47,1.54,8.22,8.59,7.87,0.71,34.67,4.96,2.63,0.16,1.9,1.74,3.06,6.43,1.0,2.69,57.67,29.08,27.23,36.77,9.57,6.55,5.45,1.75,Keihanshin,Shiga
Shimane-ken,0.56,666.2,107.5,268.1,13.8,107.0,556.9,100.0,25.0,3.3,91.6,103.2,67.1,12.9,58.0,29.1,22.3,50.1,72.3,224.9,90.2,85.3,65.5,53.9,44.3,29.3,33.7,18.8,26.9,13.7,21.6,9.0,9.3,39.2,6.5,8.9,6.6,7.5,-0.5,-0.47,8.02,1.68,12.7,13.47,11.99,0.67,39.16,5.41,2.55,-0.22,1.5,1.72,1.15,1.13,0.5,2.66,51.52,32.79,27.56,50.45,11.83,10.45,4.58,1.55,,Shimane
Shizuoka-ken,2.94,1636.4,136.7,264.0,18.8,483.9,1367.4,99.9,59.6,15.5,97.0,103.7,76.4,13.7,62.5,23.8,21.9,38.1,60.0,174.3,91.8,86.4,69.5,54.5,45.3,29.7,34.9,19.8,28.6,15.1,22.5,10.7,8.4,33.7,5.4,8.9,6.2,8.3,-0.48,-0.12,8.47,1.54,9.67,10.29,9.08,0.54,35.22,5.27,2.78,-0.1,1.38,1.49,0.85,0.99,2.7,2.65,56.42,30.15,26.76,41.76,9.92,7.61,5.4,1.92,Shizuoka Hamamatsu,Shizuoka
Tochigi-ken,1.57,1316.4,121.9,309.4,20.1,313.3,673.4,99.1,44.2,6.3,98.6,106.2,75.6,13.6,64.4,22.0,21.1,34.2,55.3,162.4,91.4,86.3,69.4,55.1,46.9,30.3,35.5,19.3,29.0,13.6,22.5,9.0,9.4,34.5,5.4,8.6,5.5,7.4,-0.16,-0.16,8.2,1.44,9.82,10.44,9.21,0.5,38.05,5.74,2.96,-0.08,1.59,1.67,2.74,3.62,1.44,2.65,55.61,29.21,27.33,39.12,8.77,7.1,5.29,1.94,Kanto,Tochigi
Tokushima-ken,0.61,518.9,40.6,300.8,15.4,189.4,767.0,99.7,31.7,5.2,90.3,97.8,69.5,12.4,60.6,27.0,20.5,44.5,65.0,217.3,89.9,86.9,66.8,56.1,43.2,31.9,31.8,21.2,25.3,15.5,19.6,10.4,9.8,37.2,5.9,9.7,6.5,8.8,-0.57,-0.43,7.52,1.42,11.85,12.81,10.98,0.9,38.84,5.52,2.78,-0.2,1.29,1.49,0.46,0.74,0.58,2.52,55.44,26.92,29.02,44.32,11.54,10.73,4.55,1.84,,Tokushima
Tokyo-to,10.28,2422.8,586.8,731.1,82.0,6015.7,9460.6,118.4,98.2,77.2,98.0,104.4,74.9,11.4,68.2,20.4,16.7,29.9,46.5,178.8,88.9,87.7,70.6,64.1,49.5,40.1,38.5,28.7,31.4,23.0,26.1,18.9,7.3,28.8,3.7,6.7,5.4,8.9,0.85,0.03,8.22,1.12,7.92,8.67,7.19,0.57,32.98,5.36,2.74,0.37,3.01,2.64,21.97,3.6,12.31,2.03,48.24,17.74,45.79,28.79,7.61,9.75,6.93,2.0,Kanto,Tokyo
